year,mo,da,temp,min,max,prcp
2018,01,01,76.8,68.0,84.2,0.0
2018,04,01,81.1,77.0,84.2,0.0
2018,01,01,73.6,64.4,80.6,0.0
2018,01,01,77.2,60.8,86.0,0.0
2018,02,01,80.2,66.2,91.4,0.0
2018,02,01,78.1,75.2,82.4,99.99
2018,01,01,72.9,62.6,82.4,0.0
2018,09,01,83.2,75.2,87.8,99.99
2018,09,01,86.2,80.6,89.6,0.0
2018,02,01,65.5,57.2,73.4,0.0
2018,07,01,88.9,84.2,93.2,0.0
2018,03,01,84.7,69.8,96.8,0.0
2018,08,01,85.5,75.2,91.4,0.0
2018,06,01,88.4,78.8,93.2,0.0
2018,07,01,84.3,80.6,86.0,99.99
2018,11,01,85.3,71.6,91.4,0.0
2018,06,01,83.9,77.0,87.8,99.99
2018,05,01,85.3,75.2,93.2,99.99
2018,06,01,90.2,82.4,95.0,0.0
2018,03,01,86.9,73.4,95.0,0.0
2018,03,01,84.7,75.2,89.6,0.0
2018,09,01,86.3,77.0,93.2,0.0
2018,07,01,85.4,73.4,93.2,0.0
2018,12,01,83.8,73.4,91.4,0.0
2018,05,01,85.7,78.8,91.4,0.0
2018,01,01,82.4,71.6,87.8,0.0
2018,05,01,85.2,78.8,91.4,99.99
2018,10,01,83.7,78.8,89.6,99.99
2018,10,01,83.9,73.4,91.4,99.99
2018,11,01,82.0,71.6,91.4,0.0
2018,12,01,87.8,75.2,93.2,0.0
2018,08,01,80.0,77.0,86.0,99.99
2018,10,01,85.9,80.6,91.4,0.0
2018,08,01,82.8,77.0,87.8,99.99
2018,12,01,85.7,78.8,91.4,0.0
2018,03,01,84.6,73.4,91.4,0.0
2018,07,01,90.3,77.0,96.8,99.99
2018,04,01,85.4,73.4,93.2,0.0
2018,02,01,64.1,57.2,73.4,0.0
2018,02,01,68.3,59.0,73.4,0.0
2018,11,01,79.7,69.8,86.0,0.0
2018,08,01,85.7,75.2,93.2,0.0
2018,09,01,88.6,71.6,96.8,99.99
2018,04,01,83.4,75.2,89.6,0.0
2018,05,01,81.7,71.6,93.2,99.99
2018,08,01,84.1,78.8,87.8,0.0
2018,12,01,82.6,73.4,87.8,99.99
2018,05,01,81.9,77.0,87.8,99.99
2018,02,01,83.8,77.0,87.8,0.0
2018,11,01,83.7,73.4,87.8,99.99
2018,07,01,86.6,75.2,95.0,0.0
2018,08,01,84.4,77.0,91.4,0.0
2018,01,01,77.7,75.2,80.6,99.99
2018,03,01,83.7,73.4,89.6,0.0
2018,06,01,82.3,73.4,91.4,99.99
2018,04,01,81.2,73.4,89.6,99.99
2018,10,01,85.0,75.2,91.4,0.0
2018,07,01,87.8,80.6,93.2,0.0
2018,07,01,88.2,75.2,96.8,99.99
2018,11,01,77.3,60.8,86.0,0.0
2018,04,01,81.3,69.8,87.8,0.0
2018,12,01,82.0,71.6,91.4,0.0
2018,03,01,82.1,75.2,89.6,0.0
2018,09,01,84.7,78.8,87.8,0.0
2018,10,01,81.5,73.4,86.0,0.0
2018,12,01,83.9,71.6,91.4,0.0
2018,09,01,84.4,77.0,91.4,0.0
2018,06,01,86.8,77.0,95.0,0.0
2018,08,01,84.5,75.2,91.4,99.99
2018,01,01,73.7,59.0,82.4,0.0
2018,06,01,87.0,78.8,93.2,0.0
2018,05,01,83.4,73.4,91.4,99.99
2018,04,01,81.3,71.6,89.6,0.0
2018,10,01,83.2,73.4,87.8,99.99
2018,11,01,75.8,62.6,84.2,0.0
2018,11,01,75.7,59.0,87.8,0.0
2018,06,01,87.1,77.0,95.0,0.0
2018,07,01,87.3,77.0,93.2,0.0
2018,12,01,83.5,69.8,95.0,0.0
2018,10,01,82.3,71.6,89.6,0.0
2018,04,01,81.2,69.8,91.4,0.0
2018,11,01,76.7,57.2,87.8,0.0
2018,03,01,82.8,73.4,93.2,99.99
2018,02,01,66.2,57.2,71.6,0.0
2018,05,01,84.6,75.2,93.2,99.99
2018,09,01,84.5,77.0,91.4,0.0
2018,02,01,83.5,80.6,87.8,99.99
2018,01,01,81.4,77.0,86.0,0.0
2018,10,01,86.9,82.4,93.2,99.99
2018,03,01,84.4,78.8,87.8,0.0
2018,07,01,86.8,80.6,91.4,99.99
2018,11,01,86.1,80.6,91.4,0.0
2018,06,01,83.3,78.8,86.0,0.0
2018,09,01,88.0,80.6,93.2,0.0
2018,08,01,82.4,77.0,91.4,99.99
2018,12,01,84.7,78.8,89.6,0.0
2018,04,01,80.4,77.0,86.0,99.99
2018,05,01,82.3,78.8,89.6,99.99
2018,11,01,70.3,59.0,80.6,0.0
2018,03,01,81.9,71.6,95.0,0.0
2018,06,01,81.1,75.2,91.4,99.99
2018,11,01,79.8,71.6,91.4,0.0
2018,03,01,82.8,73.4,91.0,0.0
2018,05,01,79.3,71.6,87.8,99.99
2018,02,01,82.4,72.5,91.0,0.2
2018,04,01,79.7,75.2,85.3,0.09
2018,10,01,81.8,76.8,90.5,1.22
2018,11,01,79.6,69.8,89.8,0.0
2018,12,01,77.8,68.0,89.8,0.0
2018,10,01,84.1,75.0,90.7,0.0
2018,07,01,81.7,74.8,91.4,0.0
2018,04,01,82.0,77.7,88.3,0.05
2018,12,01,86.1,78.8,94.1,0.0
2018,10,01,77.3,73.4,89.6,99.99
2018,01,01,79.9,74.8,86.4,0.02
2018,11,01,79.7,71.6,87.8,0.0
2018,06,01,82.8,75.2,95.0,0.0
2018,08,01,84.2,80.6,90.3,0.0
2018,08,01,81.3,75.2,91.9,0.01
2018,05,01,79.5,75.7,84.2,0.25
2018,09,01,83.7,76.1,91.4,0.06
2018,01,01,77.2,70.3,88.5,0.0
2018,01,01,71.1,59.0,84.2,0.0
2018,03,01,85.3,77.0,93.6,0.0
2018,04,01,83.1,77.0,91.4,99.99
2018,08,01,82.2,75.2,93.2,0.0
2018,07,01,82.1,73.4,91.4,0.0
2018,02,01,79.0,75.2,85.6,1.35
2018,12,01,72.9,62.6,84.2,0.0
2018,09,01,84.1,76.1,92.1,0.41
2018,09,01,78.3,75.2,84.2,99.99
2018,07,01,82.9,75.2,93.2,99.99
2018,02,01,65.2,55.4,78.8,99.99
2018,06,01,80.3,71.6,87.1,0.0
2018,04,01,79.0,72.9,94.3,0.05
2018,03,01,72.9,62.6,87.8,0.0
2018,05,01,78.3,73.4,91.4,99.99
2018,02,01,80.5,73.4,90.9,0.0
2018,03,01,84.4,75.2,98.6,0.0
2018,10,01,83.6,76.3,94.1,1.98
2018,12,01,81.2,73.6,89.6,0.05
2018,10,01,77.5,71.6,84.2,99.99
2018,05,01,80.0,73.4,93.2,99.99
2018,08,01,84.5,80.6,91.4,0.0
2018,08,01,85.5,80.2,91.4,0.0
2018,11,01,79.0,67.6,91.6,0.0
2018,05,01,81.5,71.6,93.6,0.22
2018,01,01,77.3,71.6,84.2,0.0
2018,08,01,82.7,77.7,86.0,0.51
2018,07,01,82.5,74.8,88.2,0.11
2018,02,01,82.1,73.0,91.4,0.0
2018,02,01,65.7,55.4,78.8,0.0
2018,02,01,81.4,73.4,93.2,0.0
2018,09,01,83.1,79.5,86.5,0.03
2018,05,01,83.0,75.7,90.3,0.02
2018,01,01,80.1,68.9,87.3,0.33
2018,04,01,83.5,73.2,93.7,0.0
2018,06,01,79.4,73.4,93.6,0.1
2018,12,01,79.6,68.0,96.8,0.0
2018,11,01,74.8,62.6,86.0,0.0
2018,10,01,82.8,75.2,93.2,99.99
2018,05,01,82.5,75.9,91.4,0.24
2018,05,01,81.4,73.2,93.2,1.12
2018,07,01,84.0,75.2,93.6,0.2
2018,04,01,78.4,71.6,91.4,99.99
2018,12,01,82.5,75.4,93.2,0.0
2018,06,01,86.0,80.6,91.8,0.91
2018,02,01,80.5,73.4,86.4,0.0
2018,10,01,83.1,77.0,91.9,1.4
2018,02,01,72.0,55.4,90.5,0.0
2018,08,01,79.0,73.4,87.8,99.99
2018,03,01,84.2,75.9,89.6,0.0
2018,12,01,80.9,74.3,93.2,0.88
2018,10,01,82.5,74.5,95.7,0.25
2018,12,01,81.1,73.4,91.4,0.0
2018,07,01,80.2,75.2,89.6,99.99
2018,12,01,86.3,78.3,93.2,0.0
2018,06,01,80.9,75.2,86.9,1.81
2018,03,01,81.4,70.7,92.3,0.0
2018,09,01,81.7,73.4,91.4,0.0
2018,01,01,78.8,72.1,89.6,0.0
2018,08,01,82.1,73.6,91.9,0.0
2018,09,01,83.8,75.6,92.7,0.83
2018,04,01,81.2,69.8,93.2,0.0
2018,04,01,79.8,73.4,90.5,1.41
2018,05,01,81.1,76.6,89.6,0.17
2018,06,01,82.0,73.4,93.9,0.54
2018,04,01,76.3,68.0,86.0,0.0
2018,09,01,82.2,73.9,93.2,0.0
2018,06,01,85.7,78.4,92.7,0.0
2018,06,01,77.5,71.6,91.4,99.99
2018,01,01,78.9,69.8,86.7,0.0
2018,07,01,85.3,77.2,95.0,0.06
2018,08,01,81.5,75.2,91.4,99.99
2018,03,01,78.7,66.2,95.5,0.0
2018,11,01,82.7,75.2,91.4,99.99
2018,07,01,85.4,78.8,91.4,0.0
2018,09,01,79.8,71.6,91.4,0.0
2018,01,01,74.0,68.0,81.7,0.0
2018,09,01,81.5,75.2,91.4,0.01
2018,10,01,82.0,73.4,93.2,0.05
2018,11,01,81.3,74.5,89.6,0.24
2018,03,01,83.3,73.4,92.3,0.0
2018,01,01,70.7,64.4,77.0,0.0
2018,06,01,88.2,81.5,98.2,0.0
2018,09,01,84.5,79.7,86.9,0.03
