traffic,precip,temp_f,day,mo,year,hr,min
4.466666667,0.0,28.388888888888886,6,1,2018,21,20
3.45,0.0,28.388888888888886,6,1,2018,22,20
1.258333333,0.0,28.388888888888886,6,1,2018,23,20
1.058333333,0.0,28.444444444444443,0,1,2018,0,20
0.841666667,0.0,28.444444444444443,0,1,2018,1,20
1.008333333,0.0,28.444444444444443,0,1,2018,2,20
0.858333333,0.0,28.444444444444443,0,1,2018,3,20
0.983333333,0.0,28.444444444444443,0,1,2018,4,20
0.983333333,0.0,28.444444444444443,0,1,2018,5,20
3.083333333,0.0,28.444444444444443,0,1,2018,6,25
6.308333333,0.0,28.444444444444443,0,1,2018,7,30
7.3,0.0,28.444444444444443,0,1,2018,8,30
6.841666667,0.0,28.444444444444443,0,1,2018,9,35
6.608333333,0.0,28.444444444444443,0,1,2018,10,35
5.958333333,0.0,28.444444444444443,0,1,2018,11,35
5.708333333,0.0,28.444444444444443,0,1,2018,12,45
5.483333333,0.0,28.444444444444443,0,1,2018,13,45
5.716666667,0.0,28.444444444444443,0,1,2018,14,45
6.058333333,0.0,28.444444444444443,0,1,2018,15,50
6.441666667,0.0,28.444444444444443,0,1,2018,16,50
7.008333333,0.0,28.444444444444443,0,1,2018,17,50
7.716666667,0.0,28.444444444444443,0,1,2018,18,55
6.925,0.0,28.444444444444443,0,1,2018,19,55
5.625,0.0,28.444444444444443,0,1,2018,20,55
4.208333333,0.0,28.444444444444443,0,1,2018,21,55
2.266666667,0.0,28.444444444444443,0,1,2018,22,55
1.533333333,0.0,28.444444444444443,0,1,2018,23,55
1.275,0.0,29.22222222222222,1,1,2018,0,55
1.075,0.0,29.22222222222222,1,1,2018,1,55
1.25,0.0,29.22222222222222,1,1,2018,2,55
0.991666667,0.0,29.22222222222222,1,1,2018,4,0
0.833333333,0.0,29.22222222222222,1,1,2018,5,0
2.366666667,0.0,29.22222222222222,1,1,2018,6,5
5.083333333,0.0,29.22222222222222,1,1,2018,7,5
7.141666667,0.0,29.22222222222222,1,1,2018,8,5
7.075,0.0,29.22222222222222,1,1,2018,9,5
6.741666667,0.0,29.22222222222222,1,1,2018,10,5
6.366666667,0.0,29.22222222222222,1,1,2018,11,10
6.116666667,0.0,29.22222222222222,1,1,2018,12,10
5.841666667,0.0,29.22222222222222,1,1,2018,13,10
5.975,0.0,29.22222222222222,1,1,2018,14,10
6.291666667,0.0,29.22222222222222,1,1,2018,15,10
6.883333333,0.0,29.22222222222222,1,1,2018,16,10
7.1,0.0,29.22222222222222,1,1,2018,17,10
7.575,0.0,29.22222222222222,1,1,2018,18,10
7.616666667,0.0,29.22222222222222,1,1,2018,19,10
6.816666667,0.0,29.22222222222222,1,1,2018,20,10
5.408333333,0.0,29.22222222222222,1,1,2018,21,15
4.0,0.0,29.22222222222222,1,1,2018,22,20
1.7,0.0,29.22222222222222,1,1,2018,23,25
1.275,4.9022,24.055555555555557,2,1,2018,0,25
1.416666667,4.9022,24.055555555555557,2,1,2018,1,25
1.008333333,4.9022,24.055555555555557,2,1,2018,2,25
0.833333333,4.9022,24.055555555555557,2,1,2018,3,25
1.1,4.9022,24.055555555555557,2,1,2018,4,30
2.116666667,4.9022,24.055555555555557,2,1,2018,5,35
5.508333333,4.9022,24.055555555555557,2,1,2018,6,35
7.933333333,4.9022,24.055555555555557,2,1,2018,7,35
8.566666667,4.9022,24.055555555555557,2,1,2018,8,35
8.1,4.9022,24.055555555555557,2,1,2018,9,40
7.808333333,4.9022,24.055555555555557,2,1,2018,10,40
7.225,4.9022,24.055555555555557,2,1,2018,11,40
6.758333333,4.9022,24.055555555555557,2,1,2018,12,40
5.825,4.9022,24.055555555555557,2,1,2018,13,40
5.416666667,4.9022,24.055555555555557,2,1,2018,14,40
5.708333333,4.9022,24.055555555555557,2,1,2018,15,40
6.05,4.9022,24.055555555555557,2,1,2018,16,45
6.716666667,4.9022,24.055555555555557,2,1,2018,17,45
7.433333333,4.9022,24.055555555555557,2,1,2018,18,45
6.65,4.9022,24.055555555555557,2,1,2018,19,45
5.35,4.9022,24.055555555555557,2,1,2018,20,45
4.316666667,4.9022,24.055555555555557,2,1,2018,21,45
2.433333333,4.9022,24.055555555555557,2,1,2018,22,45
1.266666667,4.9022,24.055555555555557,2,1,2018,23,50
1.141666667,1.27,23.61111111111111,3,1,2018,0,50
1.058333333,1.27,23.61111111111111,3,1,2018,1,50
1.141666667,1.27,23.61111111111111,3,1,2018,2,50
0.983333333,1.27,23.61111111111111,3,1,2018,3,50
0.908333333,1.27,23.61111111111111,3,1,2018,4,50
1.791666667,1.27,23.61111111111111,3,1,2018,5,50
4.625,1.27,23.61111111111111,3,1,2018,6,55
6.858333333,1.27,23.61111111111111,3,1,2018,7,55
7.133333333,1.27,23.61111111111111,3,1,2018,9,0
6.633333333,1.27,23.61111111111111,3,1,2018,10,0
6.283333333,1.27,23.61111111111111,3,1,2018,11,0
6.1,1.27,23.61111111111111,3,1,2018,12,0
6.041666667,1.27,23.61111111111111,3,1,2018,13,0
5.95,1.27,23.61111111111111,3,1,2018,14,0
5.216666667,1.27,23.61111111111111,3,1,2018,15,5
5.416666667,1.27,23.61111111111111,3,1,2018,16,10
5.966666667,1.27,23.61111111111111,3,1,2018,17,35
6.975,1.27,23.61111111111111,3,1,2018,18,40
6.175,1.27,23.61111111111111,3,1,2018,19,50
4.991666667,1.27,23.61111111111111,3,1,2018,21,0
3.65,1.27,23.61111111111111,3,1,2018,22,5
1.2,1.27,23.61111111111111,3,1,2018,23,10
1.191666667,0.0,22.83333333333333,4,1,2018,0,10
1.516666667,0.0,22.83333333333333,4,1,2018,1,10
1.0,0.0,22.83333333333333,4,1,2018,2,10
1.025,0.0,22.83333333333333,4,1,2018,3,10
1.066666667,0.0,22.83333333333333,4,1,2018,4,10
0.816666667,0.0,22.83333333333333,4,1,2018,5,10
2.458333333,0.0,22.83333333333333,4,1,2018,6,15
4.883333333,0.0,22.83333333333333,4,1,2018,7,20
6.075,0.0,22.83333333333333,4,1,2018,8,45
5.358333333,0.0,22.83333333333333,4,1,2018,9,50
5.2,0.0,22.83333333333333,4,1,2018,10,55
4.991666667,0.0,22.83333333333333,4,1,2018,12,5
5.116666667,0.0,22.83333333333333,4,1,2018,13,20
5.258333333,0.0,22.83333333333333,4,1,2018,14,20
5.583333333,0.0,22.83333333333333,4,1,2018,15,35
6.15,0.0,22.83333333333333,4,1,2018,16,55
6.858333333,0.0,22.83333333333333,4,1,2018,18,0
6.908333333,0.0,22.83333333333333,4,1,2018,19,10
5.808333333,0.0,22.83333333333333,4,1,2018,20,15
4.75,0.0,22.83333333333333,4,1,2018,21,20
2.833333333,0.0,22.83333333333333,4,1,2018,22,35
1.05,0.0,22.83333333333333,4,1,2018,23,40
1.025,0.0,22.055555555555557,5,1,2018,0,40
1.366666667,0.0,22.055555555555557,5,1,2018,1,40
0.941666667,0.0,22.055555555555557,5,1,2018,2,45
0.808333333,0.0,22.055555555555557,5,1,2018,3,45
0.616666667,0.0,22.055555555555557,5,1,2018,4,45
1.491666667,0.0,22.055555555555557,5,1,2018,5,45
2.333333333,0.0,22.055555555555557,5,1,2018,7,5
2.883333333,0.0,22.055555555555557,5,1,2018,8,10
4.041666667,0.0,22.055555555555557,5,1,2018,9,25
4.966666667,0.0,22.055555555555557,5,1,2018,10,40
5.316666667,0.0,22.055555555555557,5,1,2018,11,55
5.85,0.0,22.055555555555557,5,1,2018,13,10
5.416666667,0.0,22.055555555555557,5,1,2018,14,25
5.241666667,0.0,22.055555555555557,5,1,2018,15,25
5.075,0.0,22.055555555555557,5,1,2018,16,35
5.508333333,0.0,22.055555555555557,5,1,2018,17,40
5.95,0.0,22.055555555555557,5,1,2018,18,45
5.141666667,0.0,22.055555555555557,5,1,2018,19,55
3.933333333,0.0,22.055555555555557,5,1,2018,21,10
3.116666667,0.0,22.055555555555557,5,1,2018,22,20
1.033333333,0.0,22.055555555555557,5,1,2018,23,20
0.941666667,0.0,24.055555555555557,6,1,2018,0,20
1.05,0.0,24.055555555555557,6,1,2018,1,20
0.791666667,0.0,24.055555555555557,6,1,2018,2,20
0.675,0.0,24.055555555555557,6,1,2018,3,25
0.733333333,0.0,24.055555555555557,6,1,2018,4,25
1.083333333,0.0,24.055555555555557,6,1,2018,5,30
1.783333333,0.0,24.055555555555557,6,1,2018,6,30
1.933333333,0.0,24.055555555555557,6,1,2018,7,35
2.575,0.0,24.055555555555557,6,1,2018,8,55
3.241666667,0.0,24.055555555555557,6,1,2018,10,0
3.791666667,0.0,24.055555555555557,6,1,2018,11,10
4.383333333,0.0,24.055555555555557,6,1,2018,12,35
4.333333333,0.0,24.055555555555557,6,1,2018,13,45
4.141666667,0.0,24.055555555555557,6,1,2018,15,5
4.225,0.0,24.055555555555557,6,1,2018,16,25
4.9,0.0,24.055555555555557,6,1,2018,17,40
5.066666667,0.0,24.055555555555557,6,1,2018,18,45
4.575,0.0,24.055555555555557,6,1,2018,19,55
3.775,0.0,24.055555555555557,6,1,2018,21,20
2.325,0.0,24.055555555555557,6,1,2018,22,30
1.225,0.0,24.055555555555557,6,1,2018,23,30
0.808333333,0.0,25.444444444444443,0,1,2018,0,30
0.783333333,0.0,25.444444444444443,0,1,2018,1,45
0.816666667,0.0,25.444444444444443,0,1,2018,2,45
1.05,0.0,25.444444444444443,0,1,2018,3,45
1.066666667,0.0,25.444444444444443,0,1,2018,4,50
1.708333333,0.0,25.444444444444443,0,1,2018,6,0
4.625,0.0,25.444444444444443,0,1,2018,7,15
6.308333333,0.0,25.444444444444443,0,1,2018,8,15
5.55,0.0,25.444444444444443,0,1,2018,9,30
5.05,0.0,25.444444444444443,0,1,2018,10,40
4.8,0.0,25.444444444444443,0,1,2018,11,55
4.733333333,0.0,25.444444444444443,0,1,2018,13,20
4.516666667,0.0,25.444444444444443,0,1,2018,14,20
5.083333333,0.0,25.444444444444443,0,1,2018,15,30
5.216666667,0.0,25.444444444444443,0,1,2018,16,35
6.141666667,0.0,25.444444444444443,0,1,2018,17,50
6.525,0.0,25.444444444444443,0,1,2018,19,5
5.158333333,0.0,25.444444444444443,0,1,2018,20,25
3.958333333,0.0,25.444444444444443,0,1,2018,21,30
2.458333333,0.0,25.444444444444443,0,1,2018,22,40
1.175,0.0,25.444444444444443,0,1,2018,23,40
1.416666667,0.0,26.944444444444443,1,1,2018,0,40
1.291666667,0.0,26.944444444444443,1,1,2018,1,40
1.166666667,0.0,26.944444444444443,1,1,2018,2,45
0.925,0.0,26.944444444444443,1,1,2018,3,45
1.291666667,0.0,26.944444444444443,1,1,2018,4,45
1.533333333,0.0,26.944444444444443,1,1,2018,5,50
3.741666667,0.0,26.944444444444443,1,1,2018,7,5
4.941666667,0.0,26.944444444444443,1,1,2018,8,10
5.175,0.0,26.944444444444443,1,1,2018,9,15
5.25,0.0,26.944444444444443,1,1,2018,10,15
5.241666667,0.0,26.944444444444443,1,1,2018,11,20
5.108333333,0.0,26.944444444444443,1,1,2018,12,30
4.975,0.0,26.944444444444443,1,1,2018,13,35
5.125,0.0,26.944444444444443,1,1,2018,14,55
4.791666667,0.0,26.944444444444443,1,1,2018,16,5
4.941666667,0.0,26.944444444444443,1,1,2018,17,10
6.025,0.0,26.944444444444443,1,1,2018,18,25
6.008333333,0.0,26.944444444444443,1,1,2018,19,30
4.866666667,0.0,26.944444444444443,1,1,2018,20,30
4.025,0.0,26.944444444444443,1,1,2018,21,35
2.258333333,0.0,26.944444444444443,1,1,2018,22,45
1.166666667,0.0,26.944444444444443,1,1,2018,23,45
0.983333333,0.0,27.944444444444443,2,1,2018,0,45
1.133333333,0.0,27.944444444444443,2,1,2018,1,45
1.066666667,0.0,27.944444444444443,2,1,2018,2,45
1.208333333,0.0,27.944444444444443,2,1,2018,3,45
0.883333333,0.0,27.944444444444443,2,1,2018,4,45
1.558333333,0.0,27.944444444444443,2,1,2018,5,50
3.766666667,0.0,27.944444444444443,2,1,2018,6,55
6.091666667,0.0,27.944444444444443,2,1,2018,8,5
5.85,0.0,27.944444444444443,2,1,2018,9,10
5.158333333,0.0,27.944444444444443,2,1,2018,10,30
5.008333333,0.0,27.944444444444443,2,1,2018,11,45
4.75,0.0,27.944444444444443,2,1,2018,13,5
4.625,0.0,27.944444444444443,2,1,2018,14,20
4.925,0.0,27.944444444444443,2,1,2018,15,40
5.225,0.0,27.944444444444443,2,1,2018,16,50
6.216666667,0.0,27.944444444444443,2,1,2018,17,55
6.308333333,0.0,27.944444444444443,2,1,2018,19,5
5.208333333,0.0,27.944444444444443,2,1,2018,20,10
4.308333333,0.0,27.944444444444443,2,1,2018,21,25
2.258333333,0.0,27.944444444444443,2,1,2018,22,40
1.15,0.0,27.944444444444443,2,1,2018,23,40
