traffic,precip,temp,first_week,last_wk,mon,tue,wed,thu,fri,Sat,sun,jan,feb,mar,apr,may,june,july,aug,sep,oct,nov,dec
3.975,0.0,29.88888888888889,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.358333333,0.0,29.88888888888889,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.133333333,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1.15,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.966666667,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.783333333,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.733333333,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1.391666667,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2.3,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2.733333333,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.525,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4.775,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5.6,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6.216666667,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6.516666667,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6.5,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6.416666667,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6.275,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6.2,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6.508333333,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
6.708333333,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5.783333333,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4.791666667,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4.45,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1.883333333,0.0,28.833333333333332,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1.15,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1.266666667,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1.083333333,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0.991666667,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0.666666667,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0.783333333,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1.916666667,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2.15,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2.408333333,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3.158333333,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3.958333333,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4.9,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5.316666667,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5.591666667,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5.4,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5.275,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5.208333333,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5.633333333,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5.725,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5.991666667,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4.925,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4.466666667,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
3.45,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1.258333333,0.0,28.388888888888886,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1.058333333,0.0,28.444444444444443,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.841666667,0.0,28.444444444444443,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.008333333,0.0,28.444444444444443,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.858333333,0.0,28.444444444444443,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.983333333,0.0,28.444444444444443,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.983333333,0.0,28.444444444444443,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3.083333333,0.0,28.444444444444443,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.308333333,0.0,28.444444444444443,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.3,0.0,28.444444444444443,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.841666667,0.0,28.444444444444443,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.608333333,0.0,28.444444444444443,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.958333333,0.0,28.444444444444443,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.708333333,0.0,28.444444444444443,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.483333333,0.0,28.444444444444443,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.716666667,0.0,28.444444444444443,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.058333333,0.0,28.444444444444443,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.441666667,0.0,28.444444444444443,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.008333333,0.0,28.444444444444443,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.716666667,0.0,28.444444444444443,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.925,0.0,28.444444444444443,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.625,0.0,28.444444444444443,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4.208333333,0.0,28.444444444444443,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2.266666667,0.0,28.444444444444443,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.533333333,0.0,28.444444444444443,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.275,0.0,29.22222222222222,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.075,0.0,29.22222222222222,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.25,0.0,29.22222222222222,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.991666667,0.0,29.22222222222222,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.833333333,0.0,29.22222222222222,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2.366666667,0.0,29.22222222222222,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.083333333,0.0,29.22222222222222,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.141666667,0.0,29.22222222222222,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.075,0.0,29.22222222222222,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.741666667,0.0,29.22222222222222,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.366666667,0.0,29.22222222222222,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.116666667,0.0,29.22222222222222,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.841666667,0.0,29.22222222222222,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5.975,0.0,29.22222222222222,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.291666667,0.0,29.22222222222222,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6.883333333,0.0,29.22222222222222,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7.1,0.0,29.22222222222222,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
